#NAME,1-MS515F,2-MS515F,3-MS515F,38-MS515F,4-MS515F,40-MS515F,41-MS515F,42-MS515F,44-MS515F,46-MS515F,47-MS515F,48-MS515F,5-MS515F,50-MS515F,52-MS515F,53-MS515F,54-MS515F,56-MS515F,58-MS515F,59-MS515F,60-MS515F,62-MS515F,64-MS515F,65-MS515F,66-MS515F
#CLASS,CN,CN,CN,FOS,CN,T1,T2,T3,FOS,T1,T2,T3,CN,FOS,T1,T2,T3,FOS,T1,T2,T3,FOS,T1,T2,T3
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter fastidiosus,0.0020517689837573233,0.0,0.0,0.0046240165198008385,0.0,0.0,0.011234039612422904,0.002941702701938444,0.0,0.0,0.00786285336345648,0.0,0.0,0.0,0.0,0.004569673856338154,0.0,0.0,0.0,0.0020212074190451724,0.002617344957144029,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter secundus,0.0,0.004431596576655094,0.0,0.0,0.0,0.0,0.00624113311799269,0.001470851350969222,0.004332917426870595,0.0,0.009435424036122318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Odoribacter ; Odoribacter splanchnicus,0.03975302406021719,0.12602352764811614,0.057428667415136754,0.02312008259902821,0.08437869588872586,0.0,0.05773048134149249,0.01286994932101882,0.05416146783588243,0.007168552865540945,0.18084562735938992,0.008044771810508515,0.03751734806985841,0.051796873060146256,0.0,0.12995010028948029,0.015119212827128031,0.041496754578882966,0.0,0.20212074190475116,0.022901768374962418,0.009246591274081749,0.008758327698155951,0.028526949884907823,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Paludibacter ; Paludibacter sp,0.5522678181264437,0.5834935492593863,0.12251449048562509,0.14064716914381808,0.46668710812542735,0.13772795851529918,0.3599053431370643,0.10786243240434183,0.14298627508667705,0.21664959771309855,0.30665128117435414,0.06972135569104211,0.0,0.01883522656729654,0.021318471648465127,0.049504800110345755,0.012405507960726795,0.10214585742499861,0.1289975798999348,0.39750412574604954,0.09378819429769293,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Parabacteroides ; Parabacteroides distasonis,0.06375139342381353,0.22474525495869174,0.1542369924861216,0.0421115790195513,0.2241169594502286,0.023929568081815518,0.10877403434250749,0.019961554048875278,0.16650782683277637,0.14473649595152907,0.30889781070708894,0.06665668071566914,0.07396277190911163,0.11839285270918261,0.2948593805935098,0.18441898063086407,0.1375682222072612,0.07296132673224578,0.10051759472729849,0.3067904118201919,0.06449885787245052,0.022309236089883097,0.075071380269866,0.026489310607468924,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Parabacteroides ; Parabacteroides merdae,0.06155306951265328,0.07662969080465906,0.3432958118817454,0.09729701427067522,0.2750120458591471,0.04652971571464128,0.19451531551056184,0.07599398646672618,0.07293744335227492,0.13062696332710722,0.12580565381496428,0.020111929526271288,0.026262143648856786,0.3390340782121454,0.2635738312914556,0.25038004671131353,0.1752277999450489,0.08157481669390361,0.18176931713191385,0.23664970198062854,0.08288259030943336,0.010958922991479391,0.015570360352310034,0.02377245823746559,0.009508955117039055
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Tannerella ; Tannerella sp,0.0,0.005539495720830463,0.0,0.03757013422331577,0.0,0.0,0.034326232149069984,0.018385641887115275,0.02816396327458874,0.0,0.055039973544122614,0.01608954362101703,0.0,0.0,0.0,0.0,0.0,0.010640193481782207,0.0,0.04547716692865672,0.006543362392860073,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella bivia,0.0,0.0,0.0,0.0027328702835645573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella copri,1.416575502533498,0.0,0.0,3.5412259847404863,0.0020834245898453756,0.2382321444584952,2.4631672039040136,5.364930302657721,0.0028886116179093466,0.019116140974734186,0.005241902242302803,0.0,25.940745033777432,0.0,0.0,0.009520153867331745,0.002326032742634551,0.0014186924642332634,0.15831521169534776,0.001684339515870977,0.0,26.961690289872777,1.0821400444829408,24.9694015096914,16.103415490728974
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Prevotellaceae ; Prevotella ; Prevotella corporis,0.0,0.0,0.0,0.0027328702835645573,0.0,0.0,0.002950890363114743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
