	1-MS515F	10-MS515F	12-MS515F	13-MS515F	14-MS515F	15-MS515F	16-MS515F	17-MS515F	18-MS515F	19-MS515F	2-MS515F	21-MS515F	22-MS515F	23-MS515F	24-MS515F	25-MS515F	27-MS515F	28-MS515F	29-MS515F	3-MS515F	30-MS515F	32-MS515F	33-MS515F	34-MS515F	35-MS515F	36-MS515F	37-MS515F	38-MS515F	39-MS515F	4-MS515F	5-MS515F	9-MS515F
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Peptococcaceae ; Peptococcus ; Peptococcus niger	0	0.00630159430336	0.00518009462306	0	0	0	0	0	0	0	0	0	0.00200128081972	0	0	0	0	0	0	0	0	0	0	0	0.0824511942125	0	0	0	0	0	0	0.0279494425639
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Peptostreptococcaceae ; Intestinibacter ; Intestinibacter bartlettii	0	0	0.00172669820769	0.508712431295	0.299143253721	0.0136793558978	0.0238845896627	0.0118154427837	0.00203508486304	0.00198369403503	0.0137061403509	0	0.0080051232789	0.00325361965186	0	0	0	0.00210703750527	0	0.00523733873361	0	0	0	0	0.175541252194	0.00403290853363	0.0381560234486	0.142849584678	0.00831739166597	0	0	0.00931648085463
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Peptostreptococcaceae ; Intestinibacter ; Intestinibacter sp	0	0	0	0	0	0	0	0	0.0366315275347	0.00793477614013	0	0.00200128081972	0.00600384245917	0	0	0	0	0.0126422250316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Acetivibrio ; Acetivibrio sp	0.0798279625949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Anaerotruncus ; Anaerotruncus colihominis	0.0162914209377	0	0	0	0	0	0	0.00295386069593	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00504990994327	0.00804926148026	0	0	0.0201645426682	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Anaerotruncus ; Anaerotruncus sp	0	0	0	0	0	0	0	0	0	0	0.00274122807018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161316341345	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Candidatus Soleaferrea ; Candidatus Soleaferrea massiliensis	0	0	0	0	0	0	0	0	0	0.0059510821051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Faecalibacterium ; Faecalibacterium prausnitzii	1.85070541853	0.182746234797	0.226197465207	5.44185865201	8.33532762169	0.0332212928946	0.138530620044	19.448218822	0.915788188367	3.00728015711	4.12828947368	0.256163944925	0.640409862312	0.00650723930373	0.0317024199514	9.05268522648	0.292155621561	0.450906026127	0.0252316726305	13.7532515145	0.706636844085	0.245762283906	0.364229081982	1.74132403693	8.89143039523	5.04113566704	11.158902494	7.43875985398	8.4338351493	0.0114419748849	0.0132244520118	5.04332163597
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Faecalibacterium ; Faecalibacterium sp	0	0	0	0	0.10051213325	0.0840303290862	0.0270692016178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Gemmiger ; Gemmiger formicilis	4.83529373432	0.0504127544269	0.00863349103844	1.29224652087	0.708371224812	0.0214961306965	0.00796152988758	0.847758019732	0.0162806789043	0.0555434329809	4.38048245614	0.100064040986	0.172110150496	0.0650723930373	0.294379613834	1.29961139071	0.0146077810781	0.00210703750527	0	2.27300501039	0.00593812474021	0.011783123201	0.0281724151809	0.0875917523606	1.64902388425	1.53653815131	0.759651739568	0.798899529125	4.46228062879	0.0157327154667	0.0181836215162	3.546473712
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Oscillospira ; Oscillospira sp	1.03939265583	0.0168042514756	0.0103601892461	0.0233890773009	0.189058536352	0.00390838739936	0.00159230597752	0.112246706445	0.0264561032195	0.0317391045605	0.487938596491	0.00200128081972	0.0100064040986	0	0.00754819522652	0.00212354802404	0.00486926035935	0.0126422250316	0.00229378842096	0.0471360486025	0	0.0151497298298	0.0201231537006	0.0315330308498	0.0851109101548	0.564607194709	0.131811717368	0.0634887043014	1.23929135823	0.00429074058182	0	0.854010745008
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Papillibacter ; Papillibacter sp	0.00488742628132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Ruminiclostridium ; Clostridium cellulolyticum	0	0	0	0	0.138802469727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Ruminiclostridium ; Clostridium leptum	0.00814571046887	0	0	0.0116945386505	0.00478629205954	0	0	0.00886158208779	0	0	0.00548245614035	0	0	0	0	0	0	0.00210703750527	0	0.00523733873361	0	0.00336660662885	0	0	0.00531943188467	0.0362961768027	0.0138749176177	0.0423258028676	0.112284787491	0	0	0.00931648085463
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Ruminiclostridium ; Clostridium methylpentosum	0.00488742628132	0	0	0	0	0	0	0.0295386069593	0	0	0	0	0	0	0	0.00212354802404	0	0.00421407501054	0	0.00174577957787	0	0.00841651657212	0	0.00350367009442	0.015958295654	0.04436199387	0.0138749176177	0	0.012476087499	0	0	0.00931648085463
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Ruminococcus ; Ruminococcus bromii	0.439868365319	0.107127103157	0.0690679283075	0.00194908977508	0	0	0	6.2444615112	0.0183157637673	0.0495923508758	0.00274122807018	0	0.00400256163945	0	0	0.00212354802404	0.0340848225155	0.126422250316	0.0321130378934	0.796075487509	1.81112804576	0.257545407107	0.144886706645	1.79738275844	0.0132985797117	7.10195192773	2.01880051337	6.42029522248	0.0332695666639	0.0171629623273	0.00495916950441	4.88183596783
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Ruminococcus ; Ruminococcus callidus	0.00162914209377	0	0	0	0.0550423586847	0	0	0.0324924676552	0	0	0.0548245614035	0	0	0	0	0	0	0	0	0.0209493549344	0.0039587498268	0	0	0	0.0212777275387	0	0.0728433174928	0	0.0166347833319	0	0	0.0527933915096
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Ruminococcus ; Ruminococcus lactaris	0	0	0	0.00194908977508	0.0167520222084	0.0195419369968	0.00318461195503	0.469663850653	0.0468069518499	0.109103171927	0	0.0320204931156	0.0140089657381	0.00488042947779	0.0015096390453	0.0361003164087	0	0	0	0.115221452139	0	0	0	0	0.146284376829	0.00403290853363	0	0	0	0.0672216024486	0	0.00621098723642
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Ruminococcus ; Ruminococcus sp	1.72526147731	0.254164303569	0.210657181338	1.10123572292	1.31623031637	0.130930977879	0.259545874335	1.94068647723	0.0468069518499	0.378885560691	1.07730263158	0.900576368876	1.12271853987	0.0650723930373	0.0513277275403	1.76466840798	0.116862248624	0.282343025706	0.00917515368382	2.69373788865	2.08428178381	0.432608951807	0.146899022015	1.20876618258	3.74753976275	3.20212937571	2.05001907801	0.822707793238	3.26041753306	0.550645041334	0.00991833900883	0.993757957827
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Subdoligranulum ; Subdoligranulum sp	8.61816167606	0.0441111601235	0.0466208516076	0.0487272443769	0.21059685062	0.0156335495974	0.00796152988758	4.64937673539	0.496560706581	1.48578683224	25.7236842105	0.442283061159	0.402257444765	0.144786074508	0.538941139174	2.29767896201	0.22885523689	0.337126000843	0.0481695568401	4.4569752623	0.84915183785	0.282794956823	0.265625628849	0.511535833786	5.22900154264	12.0100016132	12.4874258559	15.2849055606	3.31032188306	0.0386166652364	0.00661222600588	2.16763454551
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Ruminococcaceae ; Unclassified ; Unclassified	0.0619073995634	0	0	0.0155927182006	0.0191451682382	0	0	0	0	0	0.0109649122807	0	0	0	0	0	0.0097385207187	0.0105351875263	0	0	0	0.00336660662885	0	0	0.00531943188467	0.00806581706727	0.0624371292795	0.023808264113	0	0	0	0.00931648085463
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Unclassified ; Flavonifractor ; Flavonifractor plautii	0.00651656837509	0	0	0.0116945386505	0.00239314602977	0	0	0.0147693034796	0.00610525458912	0	0.00548245614035	0	0	0	0	0	0	0	0	0	0.0039587498268	0.00336660662885	0.00201231537006	0	0.00797914782701	0	0.0277498352354	0.0185175387546	0.00831739166597	0	0	0.00310549361821
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Unclassified ; Howardella ; Howardella ureilytica	0	0	0	0	0.0167520222084	0.00390838739936	0	0	0	0	0	0	0	0.00325361965186	0	0	0	0	0	0	0	0	0	0	0.015958295654	0	0	0.185175387546	0.128919570823	0	0	0.145958200056
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Unclassified ; Intestinimonas ; Intestinimonas butyriciproducens	0	0	0	0.00194908977508	0	0	0	0.00590772139186	0	0	0	0	0	0	0	0	0.00486926035935	0.00210703750527	0	0	0	0	0.00201231537006	0	0	0.00403290853363	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Unclassified ; Intestinimonas ; Intestinimonas sp	0.0130331367502	0	0	0.0116945386505	0.00239314602977	0	0	0.0354463283512	0	0	0	0	0	0	0	0	0	0	0	0.00174577957787	0	0.00168330331442	0	0	0	0	0	0.0132268133961	0.012476087499	0	0	0.0155274680911
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Unclassified ; Unclassified ; Unclassified	19.8869375387	0.0546138172958	0.0587077390614	0.132538104705	2.8215191691	0.0508090361917	0.0716537689882	2.74118272582	0.052912206439	0.178532463153	12.5603070175	0.022014089017	0.0480307396734	0	0.015096390453	0.146524813659	0.0584311243122	0.094816687737	0.00688136526287	0.712278067771	0.0851131212763	0.282794956823	0.330019720691	0.415184906189	1.85648172775	3.64574931441	1.07530611537	0.383577588487	3.14813274557	0	0.00330611300294	6.23272569175
