	1-MS515F	2-MS515F	3-MS515F	38-MS515F	4-MS515F	40-MS515F	41-MS515F	42-MS515F	44-MS515F	46-MS515F	47-MS515F	48-MS515F	5-MS515F	50-MS515F	52-MS515F	53-MS515F	54-MS515F	56-MS515F	58-MS515F	59-MS515F	60-MS515F	62-MS515F	64-MS515F	65-MS515F	66-MS515F
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides stercoris	0.0278026628773	0	0.254024654417	0.057761732852	0	0.00190796000916	0.0797517726078	0.0361668884902	0	0	0	0	0	0.251363712927	0.03451846738	0.684865321899	0.188993385232	0	0	0.00108018190263	0	0.00855680865264	0	0.0238262088297	0.011616762989
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides thetaiotaomicron	0.014416195566	0.0370242090554	0.0607789050446	0.0493381468111	0.0250474583421	0.00763184003663	0.0872285012897	0.0130200798565	0.0326238470436	0.00611686266114	0.039785504238	0.00507571271466	0.140379734271	0.0570103266433	0.0632838568634	0.121995410074	0.115870944517	0.027306417008	0.0716204118174	0.0658910960606	0.0109430142533	0.114661235945	0.0197878739908	0.00140154169587	0.0609880056922
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides uniformis	0.140043042641	1.32689987937	0.587529415432	0.138387484958	1.12318076355	0.0629626803022	0.169472516791	0.105607314392	0.908524710093	0.691205480709	1.58623075592	0.375602740885	0.0141797711385	0.457378302388	0.260806197983	0.893827756975	0.544480943167	0.449580651453	0.346165323784	1.37615174395	0.410363034498	0.0299488302843	0.00989393699541	0.0238262088297	0.0058083814945
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Barnesiella ; Barnesiella intestinihominis	0.0411891301885	0.0847973820301	0.00467530038805	0.0493381468111	0.0540497785277	0.0114477600549	0.125858266147	0.0303801863318	0.0415212598737	0.00611686266114	0.112437294586	0.00507571271466	0	0.00259137848378	0	0.00483150138906	0.00112496062638	0.0126779793251	0	0.170668740616	0.00957513747162	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Barnesiella ; Barnesiella viscericola	0	0	0	0	0.015819447374	0	0	0	0	0	0	0	0	0	0	0	0	0.0165788960406	0	0.085334370308	0.00957513747162	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Butyricimonas ; Butyricimonas paravirosa	0.0164756520754	0.035829879731	0.00779216731342	0.00361010830325	0.0118645855305	0	0.013707335917	0.00289335107922	0.0128518185323	0	0.0415153087701	0	0.01843370248	0.00259137848378	0	0.0120787534726	0	0	0	0.0108018190263	0	0.00171136173053	0	0.00560616678346	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Butyricimonas ; Butyricimonas virosa	0	0	0	0	0.00263657456233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216036380526	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter fastidiosus	0.00205945650943	0	0	0.00481347773767	0	0	0.011215093023	0.00289335107922	0	0	0.00864902266044	0	0	0	0	0.00483150138906	0	0	0	0.00216036380526	0.00273575356332	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Coprobacter ; Coprobacter secundus	0	0.00477731729747	0	0	0	0	0.00623060723498	0.00144667553961	0.00494300712782	0	0.0103788271925	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Odoribacter ; Odoribacter splanchnicus	0.0319215758961	0.108683968517	0.0467530038805	0.0192539109507	0.0711875131829	0	0.0461064935389	0.0101267287773	0.0494300712782	0.00458764699586	0.159142016952	0.00676761695288	0.028359542277	0.0427577449824	0	0.109916656601	0.0146244881429	0.0380339379754	0	0.172829104421	0.0191502749432	0.00770112778738	0.00593636219725	0.0224246671338	0
